Node,In-Degree,Out-Degree,Eigenvector Centrality,Component ID
06e6ddd6-9d30-5875-a0ca-fe4b4763da99_1,0,1,-1.734723475976807e-18,46
0871898f-24fe-5dd0-af57-b5ad8b9c1c26_1,0,0,3.469446951953614e-18,69
148e925b-1a26-52a5-8941-bb97c4ba2b80_5,0,0,6.938893903907228e-18,70
c27c3c15-6bdb-584b-9cfe-be73dff84328_1,0,1,-1.3877787807814457e-17,51
d1b7cfcc-cb8c-5273-b09a-fa6976347108_4,0,1,-4.163336342344337e-17,11
d1b7cfcc-cb8c-5273-b09a-fa6976347108_3,1,2,6.938893903907228e-18,11
f588c8d4-ae74-5ffa-9657-c0c241263b8e_3,1,0,-1.1102230246251565e-16,16
c9e2da87-1c2d-58fe-ad48-3033050276bd_3,1,1,0.41399888552313324,55
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_18,0,0,0.0,71
393635d4-4a01-5493-ab3f-30a69a355aa5_4,0,3,-6.938893903907228e-18,16
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_22,0,0,0.0,72
148e925b-1a26-52a5-8941-bb97c4ba2b80_3,1,0,-6.938893903907228e-17,21
270aed57-afdf-5fa3-a6da-dc24d7448470_1,0,1,0.0,53
148e925b-1a26-52a5-8941-bb97c4ba2b80_6,1,0,8.326672684688674e-17,21
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_19,0,0,-1.3877787807814457e-17,73
19f7b22e-bbc8-5536-b2fd-49035b599ea4_2,0,1,6.938893903907228e-18,47
4636768e-14e6-5844-98e0-211e7a450519_4,0,1,6.938893903907228e-18,22
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_17,0,0,0.0,74
d9a16294-6bbb-5652-a8d0-2241637d8b60_1,0,1,-1.3877787807814457e-17,5
844714f3-caa4-5c61-b746-6fda9d09828b_6,0,1,-1.3877787807814457e-17,3
dc13d1b8-bfba-5858-bc51-df94056ae3bb_3,0,0,-1.3877787807814457e-17,75
dc13d1b8-bfba-5858-bc51-df94056ae3bb_2,0,0,-6.938893903907228e-18,76
